packet_forwarding_rate,packet_drop_ratio,residual_energy,neighbor_count,route_change_frequency,signal_strength_variation,transmission_interval,label,attack_type
0.10148375200756793,0.5109579870667578,40.55,5,0.05847972127301228,3.315526214927284,387.8,3,Selective Forwarding
0.7404385953449574,0.33405573787193554,45.1,20,0.39326058242471956,14.230077864174456,29.9,4,Hello Flood
0.8287370166444289,0.44240875738591784,36.58,17,0.4309341838830804,5.0,10.7,4,Hello Flood
0.49962458842715846,0.7258953380078969,57.84,4,0.01,4.415070754168089,298.5,3,Selective Forwarding
1.0,0.05651693584431574,54.79,7,0.057842612381899056,1.6239566684268518,273.4,0,Normal
0.7011670575928656,0.2516556787397089,35.44,24,0.4228379357486966,14.964225643558182,10.0,4,Hello Flood
0.28522852119039643,0.45826522997833274,59.38,6,0.04466150629137763,3.2393068078775524,282.0,3,Selective Forwarding
0.6183517616587434,0.5152884763743604,57.37,3,0.048764490810915787,2.9534949976959717,349.4,3,Selective Forwarding
0.8710136352876541,0.240265389124335,42.16,25,0.08884830525411436,3.0,225.9,2,Sybil
0.9565387345569323,0.05087329839730008,74.51,7,0.06550108455945398,2.8837333546896344,317.0,0,Normal
0.3049385909916542,0.6323715239011765,40.98,2,0.062196636314009825,5.76136482479207,371.8,3,Selective Forwarding
0.24738396459744177,0.6572361392535254,36.92,3,0.6094134615005043,11.549860619658588,18.4,5,DoS
0.8521729289853563,0.25832050832228526,68.39,4,0.4023456289307101,7.869217437729413,136.7,6,Node Compromise
0.5551147027694447,0.3683917015165908,65.12,12,0.043516859592408245,2.5661761179581117,254.5,1,Sinkhole
0.5991701463547948,0.5356152554933385,69.62,13,0.09974890857840993,2.422108267030265,277.0,1,Sinkhole
0.4903930356647554,0.56772873584302,58.91,10,0.08954304440201885,5.389840103825588,316.9,1,Sinkhole
0.44946120894668207,0.44554070580793403,62.36,16,0.10652861761025982,5.858758093132044,259.1,1,Sinkhole
0.79475542335045,0.1841573441248879,59.63,22,0.20151380253641815,3.5913734858777246,403.5,2,Sybil
0.20197945658812638,0.7446825848834421,47.97,11,0.2520509904048068,9.269341254041537,474.5,6,Node Compromise
0.32121412648149894,0.7165014767353581,32.85,3,0.44884854383827155,9.256099289322886,5.7,5,DoS
0.9414378219230807,0.03693777581168113,59.84,5,0.0,1.5144608404777262,341.4,0,Normal
0.1,0.8231492054153255,62.71,7,0.02468200318757168,3.059033108256698,401.1,3,Selective Forwarding
0.961399408839853,0.031158017488238782,68.48,6,0.06488362124266357,3.0072070603763703,365.2,0,Normal
0.3495993107297402,0.5441461648472365,64.78,6,0.061722773243390566,3.625056191111891,366.4,3,Selective Forwarding
0.8330387755655982,0.1964136892535835,39.43,27,0.09254615993255914,6.981715206739299,364.4,2,Sybil
0.9696691737232456,0.09503999883377676,69.0,29,0.1237505711172991,6.369744070517231,260.4,2,Sybil
0.39132563249197794,0.32960191315659787,57.57,16,0.13749036321744304,3.668675190173712,324.3,1,Sinkhole
0.8904448287404447,0.14536561038102608,64.9,6,0.04470902148532009,2.4322778567472985,315.4,0,Normal
0.4407076472003493,0.5382538851689382,63.97,6,0.08658452858949818,4.053892558758963,238.9,3,Selective Forwarding
0.35760593657874584,0.16148112038796925,58.85,11,0.34487632781650596,7.496025804819889,251.8,6,Node Compromise
0.22884192753767776,0.6677277170434317,48.91,6,0.7,9.619626878528848,166.7,6,Node Compromise
0.4129668378139784,0.5184770461360637,45.4,6,0.01,2.1879641227690114,388.1,3,Selective Forwarding
0.6961200667350752,0.24883280716575085,46.04,18,0.3341208379192866,7.501295381963828,29.8,4,Hello Flood
0.4628970135175433,0.6416433431821179,76.79,13,0.07060802423542327,4.632176110833006,344.7,1,Sinkhole
0.7370689713015051,0.5773134891782704,25.89,3,0.40803178984360633,8.908412912993388,390.4,6,Node Compromise
